frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
39,1,0,0,6,green,215,E47
40,1,0,0,6,green,215,E47
41,1,0,0,6,green,215,E47
42,1,0,0,6,green,215,E47
43,1,0,0,6,green,215,E47
44,1,0,0,6,green,215,E47
45,1,0,0,6,green,215,E47
46,1,0,0,6,green,215,E47
47,1,0,0,6,green,215,E47
48,1,0,0,6,green,215,E47
49,1,0,0,6,green,215,E47
50,1,0,0,6,green,215,E47
51,1,0,0,6,green,215,E47
52,1,0,0,6,green,215,E47
53,1,0,0,6,green,215,E47
54,1,0,0,6,green,215,E47
55,1,0,0,6,green,215,E47
56,1,0,0,6,green,215,E47
57,1,0,0,6,green,215,E47
58,1,0,0,6,green,215,E47
59,1,0,0,6,green,215,E47
60,1,0,0,6,green,215,E47
61,1,0,0,6,green,215,E47
62,1,0,0,6,green,215,E47
63,1,0,0,6,green,215,E47
64,1,0,0,6,green,215,E47
65,1,0,0,6,green,215,E47
66,1,0,0,6,green,215,E47
67,1,0,0,6,green,215,E47
68,1,0,0,6,green,215,E47
69,1,0,0,6,green,215,E47
70,1,0,0,6,green,215,E47
71,1,0,0,6,green,215,E47
72,0,0,1,6,green,215,E47
73,0,1,0,6,green,215,E47
74,0,1,0,6,green,215,E47
75,0,1,0,6,green,215,E47
76,0,1,0,6,green,215,E47
77,0,1,0,6,green,215,E47
78,0,1,0,6,green,215,E47
79,0,1,0,6,green,215,E47
80,0,1,0,6,green,215,E47
81,0,0,1,6,green,215,E47
82,1,0,0,6,green,215,E47
83,1,0,0,6,green,215,E47
84,1,0,0,6,green,215,E47
85,1,0,0,6,green,215,E47
86,1,0,0,6,green,215,E47
87,1,0,0,6,green,215,E47
88,1,0,0,6,green,215,E47
89,1,0,0,6,green,215,E47
90,1,0,0,6,green,215,E47
91,1,0,0,6,green,215,E47
92,1,0,0,6,green,215,E47
93,1,0,0,6,green,215,E47
94,1,0,0,6,green,215,E47
95,1,0,0,6,green,215,E47
96,1,0,0,6,green,215,E47
97,1,0,0,6,green,215,E47
98,1,0,0,6,green,215,E47
99,1,0,0,6,green,215,E47
100,1,0,0,6,green,215,E47
101,1,0,0,6,green,215,E47
102,1,0,0,6,green,215,E47
103,1,0,0,6,green,215,E47
104,1,0,0,6,green,215,E47
105,1,0,0,6,green,215,E47
106,1,0,0,6,green,215,E47
107,1,0,0,6,green,215,E47
108,1,0,0,6,green,215,E47
109,1,0,0,6,green,215,E47
110,1,0,0,6,green,215,E47
111,0,1,0,6,green,215,E47
112,0,1,0,6,green,215,E47
113,0,0,1,6,green,215,E47
114,1,0,0,6,green,215,E47
115,0,0,1,6,green,215,E47
116,0,0,1,6,green,215,E47
117,0,0,1,6,green,215,E47
118,0,0,1,6,green,215,E47
119,1,0,0,6,green,215,E47
120,1,0,0,6,green,215,E47
121,1,0,0,6,green,215,E47
122,1,0,0,6,green,215,E47
123,1,0,0,6,green,215,E47
124,1,0,0,6,green,215,E47
125,1,0,0,6,green,215,E47
126,1,0,0,6,green,215,E47
127,0,1,0,6,green,215,E47
128,0,1,0,6,green,215,E47
129,0,1,0,6,green,215,E47
130,0,1,0,6,green,215,E47
131,0,1,0,6,green,215,E47
132,0,1,0,6,green,215,E47
133,0,1,0,6,green,215,E47
134,0,1,0,6,green,215,E47
135,0,1,0,6,green,215,E47
136,0,1,0,6,green,215,E47
137,0,1,0,6,green,215,E47
138,0,1,0,6,green,215,E47
139,0,1,0,6,green,215,E47
140,0,1,0,6,green,215,E47
141,0,1,0,6,green,215,E47
142,0,1,0,6,green,215,E47
143,0,1,0,6,green,215,E47
144,0,1,0,6,green,215,E47
145,0,1,0,6,green,215,E47
146,0,1,0,6,green,215,E47
147,0,1,0,6,green,215,E47
148,0,1,0,6,green,215,E47
149,0,1,0,6,green,215,E47
150,0,1,0,6,green,215,E47
151,0,1,0,6,green,215,E47
152,0,1,0,6,green,215,E47
153,0,1,0,6,green,215,E47
154,0,1,0,6,green,215,E47
155,0,1,0,6,green,215,E47
0,0,0,1,7,green,192,E47
1,0,0,1,7,green,192,E47
2,0,0,1,7,green,192,E47
3,0,0,1,7,green,192,E47
4,0,0,1,7,green,192,E47
5,0,0,1,7,green,192,E47
6,0,0,1,7,green,192,E47
7,0,0,1,7,green,192,E47
8,0,0,1,7,green,192,E47
9,0,0,1,7,green,192,E47
10,0,0,1,7,green,192,E47
11,0,0,1,7,green,192,E47
12,0,0,1,7,green,192,E47
13,0,0,1,7,green,192,E47
14,0,0,1,7,green,192,E47
15,0,0,1,7,green,192,E47
16,0,0,1,7,green,192,E47
17,0,0,1,7,green,192,E47
18,0,0,1,7,green,192,E47
19,0,0,1,7,green,192,E47
20,0,0,1,7,green,192,E47
21,0,0,1,7,green,192,E47
22,0,0,1,7,green,192,E47
23,0,0,1,7,green,192,E47
24,0,0,1,7,green,192,E47
25,0,0,1,7,green,192,E47
26,0,0,1,7,green,192,E47
27,0,0,1,7,green,192,E47
28,0,0,1,7,green,192,E47
29,0,0,1,7,green,192,E47
30,0,0,1,7,green,192,E47
31,0,0,1,7,green,192,E47
32,0,0,1,7,green,192,E47
33,0,0,1,7,green,192,E47
34,0,0,1,7,green,192,E47
35,0,0,1,7,green,192,E47
36,0,0,1,7,green,192,E47
37,0,0,1,7,green,192,E47
38,0,0,1,7,green,192,E47
39,0,0,1,7,green,192,E47
40,0,0,1,7,green,192,E47
41,0,0,1,7,green,192,E47
42,0,0,1,7,green,192,E47
43,0,0,1,7,green,192,E47
44,0,0,1,7,green,192,E47
45,0,0,1,7,green,192,E47
46,0,0,1,7,green,192,E47
47,0,0,1,7,green,192,E47
48,0,0,1,7,green,192,E47
49,0,0,1,7,green,192,E47
50,0,0,1,7,green,192,E47
51,0,0,1,7,green,192,E47
52,0,0,1,7,green,192,E47
53,0,0,1,7,green,192,E47
54,0,0,1,7,green,192,E47
55,0,0,1,7,green,192,E47
56,0,0,1,7,green,192,E47
57,0,0,1,7,green,192,E47
58,0,0,1,7,green,192,E47
59,0,0,1,7,green,192,E47
60,0,0,1,7,green,192,E47
61,0,0,1,7,green,192,E47
62,0,0,1,7,green,192,E47
63,0,0,1,7,green,192,E47
64,0,0,1,7,green,192,E47
65,0,0,1,7,green,192,E47
66,0,0,1,7,green,192,E47
67,0,0,1,7,green,192,E47
68,0,0,1,7,green,192,E47
69,0,0,1,7,green,192,E47
70,0,0,1,7,green,192,E47
71,0,0,1,7,green,192,E47
72,0,0,1,7,green,192,E47
73,0,0,1,7,green,192,E47
74,0,0,1,7,green,192,E47
75,0,0,1,7,green,192,E47
76,0,0,1,7,green,192,E47
77,0,0,1,7,green,192,E47
78,0,0,1,7,green,192,E47
79,0,0,1,7,green,192,E47
80,0,0,1,7,green,192,E47
81,0,0,1,7,green,192,E47
82,0,0,1,7,green,192,E47
83,0,0,1,7,green,192,E47
84,0,0,1,7,green,192,E47
85,0,0,1,7,green,192,E47
86,0,0,1,7,green,192,E47
87,0,0,1,7,green,192,E47
88,0,0,1,7,green,192,E47
89,0,0,1,7,green,192,E47
90,0,0,1,7,green,192,E47
91,0,0,1,7,green,192,E47
92,0,0,1,7,green,192,E47
93,0,0,1,7,green,192,E47
94,0,0,1,7,green,192,E47
95,0,0,1,7,green,192,E47
96,0,0,1,7,green,192,E47
97,0,0,1,7,green,192,E47
98,0,0,1,7,green,192,E47
99,0,0,1,7,green,192,E47
100,0,0,1,7,green,192,E47
101,0,0,1,7,green,192,E47
102,0,0,1,7,green,192,E47
103,0,0,1,7,green,192,E47
104,0,0,1,7,green,192,E47
105,0,0,1,7,green,192,E47
106,0,0,1,7,green,192,E47
107,0,0,1,7,green,192,E47
108,0,0,1,7,green,192,E47
109,0,0,1,7,green,192,E47
110,0,0,1,7,green,192,E47
111,0,0,1,7,green,192,E47
112,0,0,1,7,green,192,E47
113,0,0,1,7,green,192,E47
114,0,0,1,7,green,192,E47
115,0,0,1,7,green,192,E47
116,0,0,1,7,green,192,E47
117,0,0,1,7,green,192,E47
118,0,0,1,7,green,192,E47
119,0,0,1,7,green,192,E47
120,0,0,1,7,green,192,E47
121,0,0,1,7,green,192,E47
122,0,0,1,7,green,192,E47
123,0,0,1,7,green,192,E47
124,0,0,1,7,green,192,E47
125,0,0,1,7,green,192,E47
126,0,0,1,7,green,192,E47
127,0,0,1,7,green,192,E47
128,0,0,1,7,green,192,E47
129,0,0,1,7,green,192,E47
130,0,0,1,7,green,192,E47
131,0,0,1,7,green,192,E47
132,0,0,1,7,green,192,E47
133,0,0,1,7,green,192,E47
134,0,0,1,7,green,192,E47
135,0,0,1,7,green,192,E47
136,0,0,1,7,green,192,E47
137,0,0,1,7,green,192,E47
138,0,1,0,7,green,192,E47
139,0,1,0,7,green,192,E47
140,0,1,0,7,green,192,E47
141,0,1,0,7,green,192,E47
142,0,1,0,7,green,192,E47
143,0,1,0,7,green,192,E47
144,0,0,1,7,green,192,E47
145,0,1,0,7,green,192,E47
146,0,1,0,7,green,192,E47
147,0,1,0,7,green,192,E47
148,0,1,0,7,green,192,E47
149,0,1,0,7,green,192,E47
150,0,1,0,7,green,192,E47
151,0,1,0,7,green,192,E47
152,0,1,0,7,green,192,E47
153,0,1,0,7,green,192,E47
154,0,1,0,7,green,192,E47
155,0,1,0,7,green,192,E47
0,0,0,1,8,green,414,E47
1,0,0,1,8,green,414,E47
2,0,0,1,8,green,414,E47
3,0,0,1,8,green,414,E47
4,0,0,1,8,green,414,E47
5,0,0,1,8,green,414,E47
6,0,0,1,8,green,414,E47
7,0,0,1,8,green,414,E47
8,0,0,1,8,green,414,E47
9,0,0,1,8,green,414,E47
10,0,0,1,8,green,414,E47
11,0,0,1,8,green,414,E47
12,0,0,1,8,green,414,E47
13,0,0,1,8,green,414,E47
14,0,0,1,8,green,414,E47
15,0,0,1,8,green,414,E47
16,0,0,1,8,green,414,E47
17,0,0,1,8,green,414,E47
18,0,0,1,8,green,414,E47
19,0,0,1,8,green,414,E47
20,0,0,1,8,green,414,E47
21,0,0,1,8,green,414,E47
22,0,0,1,8,green,414,E47
23,0,0,1,8,green,414,E47
24,0,0,1,8,green,414,E47
25,0,0,1,8,green,414,E47
26,0,0,1,8,green,414,E47
27,0,0,1,8,green,414,E47
28,0,0,1,8,green,414,E47
29,0,0,1,8,green,414,E47
30,0,0,1,8,green,414,E47
31,0,0,1,8,green,414,E47
32,0,0,1,8,green,414,E47
33,0,0,1,8,green,414,E47
34,0,0,1,8,green,414,E47
35,0,0,1,8,green,414,E47
36,0,0,1,8,green,414,E47
37,0,0,1,8,green,414,E47
38,0,0,1,8,green,414,E47
39,0,0,1,8,green,414,E47
40,0,0,1,8,green,414,E47
41,0,0,1,8,green,414,E47
42,0,0,1,8,green,414,E47
43,0,0,1,8,green,414,E47
44,0,0,1,8,green,414,E47
45,1,0,0,8,green,414,E47
46,1,0,0,8,green,414,E47
47,1,0,0,8,green,414,E47
48,1,0,0,8,green,414,E47
49,1,0,0,8,green,414,E47
50,1,0,0,8,green,414,E47
51,1,0,0,8,green,414,E47
52,1,0,0,8,green,414,E47
53,1,0,0,8,green,414,E47
54,1,0,0,8,green,414,E47
55,1,0,0,8,green,414,E47
56,1,0,0,8,green,414,E47
57,1,0,0,8,green,414,E47
58,1,0,0,8,green,414,E47
59,1,0,0,8,green,414,E47
60,1,0,0,8,green,414,E47
61,1,0,0,8,green,414,E47
62,1,0,0,8,green,414,E47
63,1,0,0,8,green,414,E47
64,1,0,0,8,green,414,E47
65,1,0,0,8,green,414,E47
66,1,0,0,8,green,414,E47
67,1,0,0,8,green,414,E47
68,1,0,0,8,green,414,E47
69,1,0,0,8,green,414,E47
70,1,0,0,8,green,414,E47
71,1,0,0,8,green,414,E47
72,1,0,0,8,green,414,E47
73,1,0,0,8,green,414,E47
74,1,0,0,8,green,414,E47
75,1,0,0,8,green,414,E47
76,1,0,0,8,green,414,E47
77,1,0,0,8,green,414,E47
78,1,0,0,8,green,414,E47
79,1,0,0,8,green,414,E47
80,1,0,0,8,green,414,E47
81,1,0,0,8,green,414,E47
82,1,0,0,8,green,414,E47
83,1,0,0,8,green,414,E47
84,1,0,0,8,green,414,E47
85,1,0,0,8,green,414,E47
86,1,0,0,8,green,414,E47
87,1,0,0,8,green,414,E47
88,1,0,0,8,green,414,E47
89,1,0,0,8,green,414,E47
90,1,0,0,8,green,414,E47
91,1,0,0,8,green,414,E47
92,1,0,0,8,green,414,E47
93,1,0,0,8,green,414,E47
94,1,0,0,8,green,414,E47
95,1,0,0,8,green,414,E47
96,1,0,0,8,green,414,E47
97,1,0,0,8,green,414,E47
98,1,0,0,8,green,414,E47
99,1,0,0,8,green,414,E47
100,1,0,0,8,green,414,E47
101,1,0,0,8,green,414,E47
102,1,0,0,8,green,414,E47
103,1,0,0,8,green,414,E47
104,1,0,0,8,green,414,E47
105,1,0,0,8,green,414,E47
106,1,0,0,8,green,414,E47
107,1,0,0,8,green,414,E47
108,1,0,0,8,green,414,E47
109,1,0,0,8,green,414,E47
110,1,0,0,8,green,414,E47
111,1,0,0,8,green,414,E47
112,1,0,0,8,green,414,E47
113,1,0,0,8,green,414,E47
114,1,0,0,8,green,414,E47
115,1,0,0,8,green,414,E47
116,1,0,0,8,green,414,E47
117,1,0,0,8,green,414,E47
118,1,0,0,8,green,414,E47
119,1,0,0,8,green,414,E47
120,1,0,0,8,green,414,E47
121,1,0,0,8,green,414,E47
122,1,0,0,8,green,414,E47
123,1,0,0,8,green,414,E47
124,1,0,0,8,green,414,E47
125,1,0,0,8,green,414,E47
126,1,0,0,8,green,414,E47
127,1,0,0,8,green,414,E47
128,0,0,1,8,green,414,E47
129,0,0,1,8,green,414,E47
130,0,0,1,8,green,414,E47
131,0,0,1,8,green,414,E47
132,0,1,0,8,green,414,E47
133,0,1,0,8,green,414,E47
134,0,1,0,8,green,414,E47
135,0,1,0,8,green,414,E47
136,0,1,0,8,green,414,E47
137,0,1,0,8,green,414,E47
138,0,1,0,8,green,414,E47
139,0,1,0,8,green,414,E47
140,0,1,0,8,green,414,E47
141,0,1,0,8,green,414,E47
142,0,1,0,8,green,414,E47
143,0,1,0,8,green,414,E47
144,0,1,0,8,green,414,E47
145,0,1,0,8,green,414,E47
146,0,1,0,8,green,414,E47
147,0,1,0,8,green,414,E47
148,0,1,0,8,green,414,E47
149,0,1,0,8,green,414,E47
150,0,1,0,8,green,414,E47
151,0,1,0,8,green,414,E47
152,0,1,0,8,green,414,E47
153,0,1,0,8,green,414,E47
154,0,1,0,8,green,414,E47
155,0,1,0,8,green,414,E47
0,0,0,1,9,green,457,E47
1,0,0,1,9,green,457,E47
2,0,0,1,9,green,457,E47
3,0,0,1,9,green,457,E47
4,0,0,1,9,green,457,E47
5,0,0,1,9,green,457,E47
6,0,0,1,9,green,457,E47
7,0,0,1,9,green,457,E47
8,0,0,1,9,green,457,E47
9,0,0,1,9,green,457,E47
10,0,0,1,9,green,457,E47
11,0,0,1,9,green,457,E47
12,0,0,1,9,green,457,E47
13,0,0,1,9,green,457,E47
14,0,0,1,9,green,457,E47
15,0,0,1,9,green,457,E47
16,0,0,1,9,green,457,E47
17,0,0,1,9,green,457,E47
18,0,0,1,9,green,457,E47
19,0,0,1,9,green,457,E47
20,0,0,1,9,green,457,E47
21,0,0,1,9,green,457,E47
22,0,0,1,9,green,457,E47
23,0,0,1,9,green,457,E47
24,0,0,1,9,green,457,E47
25,0,0,1,9,green,457,E47
26,0,0,1,9,green,457,E47
27,0,0,1,9,green,457,E47
28,0,0,1,9,green,457,E47
29,0,0,1,9,green,457,E47
30,0,0,1,9,green,457,E47
31,0,0,1,9,green,457,E47
32,0,0,1,9,green,457,E47
33,0,0,1,9,green,457,E47
34,0,0,1,9,green,457,E47
35,0,0,1,9,green,457,E47
36,0,0,1,9,green,457,E47
37,0,0,1,9,green,457,E47
38,0,0,1,9,green,457,E47
39,0,0,1,9,green,457,E47
40,0,0,1,9,green,457,E47
41,0,0,1,9,green,457,E47
42,0,0,1,9,green,457,E47
43,0,0,1,9,green,457,E47
44,0,0,1,9,green,457,E47
45,0,0,1,9,green,457,E47
46,0,0,1,9,green,457,E47
47,0,0,1,9,green,457,E47
48,0,0,1,9,green,457,E47
49,0,0,1,9,green,457,E47
50,0,0,1,9,green,457,E47
51,0,0,1,9,green,457,E47
52,0,0,1,9,green,457,E47
53,0,0,1,9,green,457,E47
54,0,0,1,9,green,457,E47
55,0,0,1,9,green,457,E47
56,0,0,1,9,green,457,E47
57,0,0,1,9,green,457,E47
58,0,0,1,9,green,457,E47
59,0,0,1,9,green,457,E47
60,0,0,1,9,green,457,E47
61,0,0,1,9,green,457,E47
62,0,0,1,9,green,457,E47
63,0,0,1,9,green,457,E47
64,0,0,1,9,green,457,E47
65,0,0,1,9,green,457,E47
66,0,0,1,9,green,457,E47
67,0,0,1,9,green,457,E47
68,0,0,1,9,green,457,E47
69,0,0,1,9,green,457,E47
70,0,0,1,9,green,457,E47
71,0,0,1,9,green,457,E47
72,0,0,1,9,green,457,E47
73,0,0,1,9,green,457,E47
74,0,0,1,9,green,457,E47
75,0,0,1,9,green,457,E47
76,0,0,1,9,green,457,E47
77,0,0,1,9,green,457,E47
78,0,0,1,9,green,457,E47
79,0,0,1,9,green,457,E47
80,0,0,1,9,green,457,E47
81,0,0,1,9,green,457,E47
82,0,0,1,9,green,457,E47
83,0,0,1,9,green,457,E47
84,0,0,1,9,green,457,E47
85,0,0,1,9,green,457,E47
86,0,0,1,9,green,457,E47
87,0,0,1,9,green,457,E47
88,0,0,1,9,green,457,E47
89,0,0,1,9,green,457,E47
90,0,0,1,9,green,457,E47
91,0,0,1,9,green,457,E47
92,0,0,1,9,green,457,E47
93,0,0,1,9,green,457,E47
94,0,0,1,9,green,457,E47
95,0,0,1,9,green,457,E47
96,0,0,1,9,green,457,E47
97,0,0,1,9,green,457,E47
98,0,0,1,9,green,457,E47
99,0,0,1,9,green,457,E47
100,0,0,1,9,green,457,E47
101,0,0,1,9,green,457,E47
102,0,0,1,9,green,457,E47
103,0,0,1,9,green,457,E47
104,0,0,1,9,green,457,E47
105,0,0,1,9,green,457,E47
106,0,0,1,9,green,457,E47
107,0,0,1,9,green,457,E47
108,0,0,1,9,green,457,E47
109,0,0,1,9,green,457,E47
110,0,0,1,9,green,457,E47
111,0,0,1,9,green,457,E47
112,0,0,1,9,green,457,E47
113,0,0,1,9,green,457,E47
114,0,0,1,9,green,457,E47
115,0,0,1,9,green,457,E47
116,0,0,1,9,green,457,E47
117,0,0,1,9,green,457,E47
118,0,0,1,9,green,457,E47
119,0,0,1,9,green,457,E47
120,0,0,1,9,green,457,E47
121,0,0,1,9,green,457,E47
122,0,0,1,9,green,457,E47
123,0,0,1,9,green,457,E47
124,0,0,1,9,green,457,E47
125,0,0,1,9,green,457,E47
126,0,0,1,9,green,457,E47
127,0,0,1,9,green,457,E47
128,0,0,1,9,green,457,E47
129,0,0,1,9,green,457,E47
130,0,0,1,9,green,457,E47
131,0,1,0,9,green,457,E47
132,0,1,0,9,green,457,E47
133,0,1,0,9,green,457,E47
134,0,1,0,9,green,457,E47
135,0,1,0,9,green,457,E47
136,0,1,0,9,green,457,E47
137,0,1,0,9,green,457,E47
138,0,1,0,9,green,457,E47
139,0,1,0,9,green,457,E47
140,0,1,0,9,green,457,E47
141,0,1,0,9,green,457,E47
142,0,1,0,9,green,457,E47
143,0,1,0,9,green,457,E47
144,0,1,0,9,green,457,E47
145,0,1,0,9,green,457,E47
146,0,1,0,9,green,457,E47
147,0,1,0,9,green,457,E47
148,0,1,0,9,green,457,E47
149,0,1,0,9,green,457,E47
150,0,1,0,9,green,457,E47
151,0,1,0,9,green,457,E47
152,0,1,0,9,green,457,E47
153,0,1,0,9,green,457,E47
154,0,1,0,9,green,457,E47
155,0,1,0,9,green,457,E47
0,0,0,1,10,green,493,E47
1,0,0,1,10,green,493,E47
2,0,0,1,10,green,493,E47
3,0,0,1,10,green,493,E47
4,0,0,1,10,green,493,E47
5,0,0,1,10,green,493,E47
6,0,0,1,10,green,493,E47
7,0,0,1,10,green,493,E47
8,0,0,1,10,green,493,E47
9,0,0,1,10,green,493,E47
10,0,0,1,10,green,493,E47
11,0,0,1,10,green,493,E47
12,0,0,1,10,green,493,E47
13,0,0,1,10,green,493,E47
14,0,0,1,10,green,493,E47
15,0,0,1,10,green,493,E47
16,0,0,1,10,green,493,E47
17,0,0,1,10,green,493,E47
18,0,0,1,10,green,493,E47
19,0,0,1,10,green,493,E47
20,0,0,1,10,green,493,E47
21,0,0,1,10,green,493,E47
22,0,0,1,10,green,493,E47
23,0,0,1,10,green,493,E47
24,0,0,1,10,green,493,E47
25,0,0,1,10,green,493,E47
26,0,0,1,10,green,493,E47
27,0,0,1,10,green,493,E47
28,0,0,1,10,green,493,E47
29,0,0,1,10,green,493,E47
30,0,0,1,10,green,493,E47
31,0,0,1,10,green,493,E47
32,0,0,1,10,green,493,E47
33,0,0,1,10,green,493,E47
34,0,0,1,10,green,493,E47
35,0,0,1,10,green,493,E47
36,0,0,1,10,green,493,E47
37,0,0,1,10,green,493,E47
38,0,0,1,10,green,493,E47
39,0,0,1,10,green,493,E47
40,0,0,1,10,green,493,E47
41,0,0,1,10,green,493,E47
42,0,0,1,10,green,493,E47
43,0,0,1,10,green,493,E47
44,0,0,1,10,green,493,E47
45,0,0,1,10,green,493,E47
46,0,0,1,10,green,493,E47
47,0,0,1,10,green,493,E47
48,0,0,1,10,green,493,E47
49,0,0,1,10,green,493,E47
50,0,0,1,10,green,493,E47
51,0,0,1,10,green,493,E47
52,0,0,1,10,green,493,E47
53,0,0,1,10,green,493,E47
54,0,0,1,10,green,493,E47
55,0,0,1,10,green,493,E47
56,1,0,0,10,green,493,E47
57,1,0,0,10,green,493,E47
58,1,0,0,10,green,493,E47
59,1,0,0,10,green,493,E47
60,1,0,0,10,green,493,E47
61,1,0,0,10,green,493,E47
62,1,0,0,10,green,493,E47
63,1,0,0,10,green,493,E47
64,1,0,0,10,green,493,E47
65,1,0,0,10,green,493,E47
66,1,0,0,10,green,493,E47
67,1,0,0,10,green,493,E47
68,1,0,0,10,green,493,E47
69,1,0,0,10,green,493,E47
70,1,0,0,10,green,493,E47
71,1,0,0,10,green,493,E47
72,1,0,0,10,green,493,E47
73,1,0,0,10,green,493,E47
74,1,0,0,10,green,493,E47
75,1,0,0,10,green,493,E47
76,1,0,0,10,green,493,E47
77,1,0,0,10,green,493,E47
78,1,0,0,10,green,493,E47
79,1,0,0,10,green,493,E47
80,1,0,0,10,green,493,E47
81,1,0,0,10,green,493,E47
82,1,0,0,10,green,493,E47
83,1,0,0,10,green,493,E47
84,1,0,0,10,green,493,E47
85,1,0,0,10,green,493,E47
86,1,0,0,10,green,493,E47
87,1,0,0,10,green,493,E47
88,1,0,0,10,green,493,E47
89,1,0,0,10,green,493,E47
90,1,0,0,10,green,493,E47
91,1,0,0,10,green,493,E47
92,1,0,0,10,green,493,E47
93,1,0,0,10,green,493,E47
94,1,0,0,10,green,493,E47
95,1,0,0,10,green,493,E47
96,1,0,0,10,green,493,E47
97,1,0,0,10,green,493,E47
98,1,0,0,10,green,493,E47
99,1,0,0,10,green,493,E47
100,1,0,0,10,green,493,E47
101,1,0,0,10,green,493,E47
102,1,0,0,10,green,493,E47
103,1,0,0,10,green,493,E47
104,1,0,0,10,green,493,E47
105,1,0,0,10,green,493,E47
106,1,0,0,10,green,493,E47
107,1,0,0,10,green,493,E47
108,1,0,0,10,green,493,E47
109,1,0,0,10,green,493,E47
110,1,0,0,10,green,493,E47
111,1,0,0,10,green,493,E47
112,1,0,0,10,green,493,E47
113,1,0,0,10,green,493,E47
114,1,0,0,10,green,493,E47
115,1,0,0,10,green,493,E47
116,1,0,0,10,green,493,E47
117,1,0,0,10,green,493,E47
118,1,0,0,10,green,493,E47
119,1,0,0,10,green,493,E47
120,1,0,0,10,green,493,E47
121,1,0,0,10,green,493,E47
122,1,0,0,10,green,493,E47
123,1,0,0,10,green,493,E47
124,1,0,0,10,green,493,E47
125,1,0,0,10,green,493,E47
126,1,0,0,10,green,493,E47
127,1,0,0,10,green,493,E47
128,1,0,0,10,green,493,E47
129,0,1,0,10,green,493,E47
130,0,1,0,10,green,493,E47
131,0,1,0,10,green,493,E47
132,0,1,0,10,green,493,E47
133,0,1,0,10,green,493,E47
134,0,1,0,10,green,493,E47
135,0,1,0,10,green,493,E47
136,0,1,0,10,green,493,E47
137,0,1,0,10,green,493,E47
138,0,1,0,10,green,493,E47
139,0,1,0,10,green,493,E47
140,0,1,0,10,green,493,E47
141,0,1,0,10,green,493,E47
142,0,1,0,10,green,493,E47
143,0,1,0,10,green,493,E47
144,0,1,0,10,green,493,E47
145,0,1,0,10,green,493,E47
146,0,1,0,10,green,493,E47
147,0,1,0,10,green,493,E47
148,0,1,0,10,green,493,E47
149,0,1,0,10,green,493,E47
150,0,1,0,10,green,493,E47
151,0,1,0,10,green,493,E47
152,0,1,0,10,green,493,E47
153,0,1,0,10,green,493,E47
154,0,1,0,10,green,493,E47
155,0,1,0,10,green,493,E47
0,0,0,1,11,green,477,E47
1,0,0,1,11,green,477,E47
2,0,0,1,11,green,477,E47
3,0,0,1,11,green,477,E47
4,0,0,1,11,green,477,E47
5,0,0,1,11,green,477,E47
6,0,0,1,11,green,477,E47
7,0,0,1,11,green,477,E47
8,0,0,1,11,green,477,E47
9,0,0,1,11,green,477,E47
10,0,0,1,11,green,477,E47
11,0,0,1,11,green,477,E47
12,0,0,1,11,green,477,E47
13,0,0,1,11,green,477,E47
14,0,0,1,11,green,477,E47
15,0,0,1,11,green,477,E47
16,0,0,1,11,green,477,E47
17,0,0,1,11,green,477,E47
18,0,0,1,11,green,477,E47
19,0,0,1,11,green,477,E47
20,0,0,1,11,green,477,E47
21,0,0,1,11,green,477,E47
22,0,0,1,11,green,477,E47
23,0,0,1,11,green,477,E47
24,0,0,1,11,green,477,E47
25,0,0,1,11,green,477,E47
26,0,0,1,11,green,477,E47
27,0,0,1,11,green,477,E47
28,0,0,1,11,green,477,E47
29,0,0,1,11,green,477,E47
30,0,0,1,11,green,477,E47
31,0,0,1,11,green,477,E47
32,0,0,1,11,green,477,E47
33,0,0,1,11,green,477,E47
34,0,0,1,11,green,477,E47
35,0,0,1,11,green,477,E47
36,0,0,1,11,green,477,E47
37,0,0,1,11,green,477,E47
38,0,0,1,11,green,477,E47
39,0,0,1,11,green,477,E47
40,0,0,1,11,green,477,E47
41,0,0,1,11,green,477,E47
42,0,0,1,11,green,477,E47
43,0,0,1,11,green,477,E47
44,0,0,1,11,green,477,E47
45,0,1,0,11,green,477,E47
46,0,1,0,11,green,477,E47
47,0,1,0,11,green,477,E47
48,0,1,0,11,green,477,E47
49,0,1,0,11,green,477,E47
50,0,1,0,11,green,477,E47
51,0,1,0,11,green,477,E47
52,0,1,0,11,green,477,E47
53,0,1,0,11,green,477,E47
54,0,1,0,11,green,477,E47
55,0,1,0,11,green,477,E47
56,0,1,0,11,green,477,E47
57,0,1,0,11,green,477,E47
58,0,1,0,11,green,477,E47
59,0,1,0,11,green,477,E47
60,0,1,0,11,green,477,E47
61,0,1,0,11,green,477,E47
62,0,0,1,11,green,477,E47
63,1,0,0,11,green,477,E47
64,1,0,0,11,green,477,E47
65,1,0,0,11,green,477,E47
66,1,0,0,11,green,477,E47
67,1,0,0,11,green,477,E47
68,1,0,0,11,green,477,E47
69,1,0,0,11,green,477,E47
70,1,0,0,11,green,477,E47
71,1,0,0,11,green,477,E47
72,1,0,0,11,green,477,E47
73,1,0,0,11,green,477,E47
74,1,0,0,11,green,477,E47
75,1,0,0,11,green,477,E47
76,1,0,0,11,green,477,E47
77,1,0,0,11,green,477,E47
78,1,0,0,11,green,477,E47
79,1,0,0,11,green,477,E47
