frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
109,0,1,0,6,green,268,E24
110,0,1,0,6,green,268,E24
111,0,1,0,6,green,268,E24
112,0,1,0,6,green,268,E24
113,0,1,0,6,green,268,E24
114,0,1,0,6,green,268,E24
115,0,1,0,6,green,268,E24
116,0,1,0,6,green,268,E24
117,0,1,0,6,green,268,E24
118,0,1,0,6,green,268,E24
119,0,1,0,6,green,268,E24
120,0,1,0,6,green,268,E24
121,0,1,0,6,green,268,E24
122,0,1,0,6,green,268,E24
123,0,1,0,6,green,268,E24
124,0,1,0,6,green,268,E24
125,0,1,0,6,green,268,E24
126,0,1,0,6,green,268,E24
127,0,1,0,6,green,268,E24
128,0,1,0,6,green,268,E24
129,0,1,0,6,green,268,E24
130,0,1,0,6,green,268,E24
131,0,1,0,6,green,268,E24
132,0,1,0,6,green,268,E24
133,0,1,0,6,green,268,E24
134,0,1,0,6,green,268,E24
135,0,1,0,6,green,268,E24
136,0,1,0,6,green,268,E24
137,0,1,0,6,green,268,E24
138,0,1,0,6,green,268,E24
139,0,1,0,6,green,268,E24
140,0,1,0,6,green,268,E24
141,0,1,0,6,green,268,E24
0,0,0,1,7,green,242,E24
1,0,0,1,7,green,242,E24
2,0,0,1,7,green,242,E24
3,0,0,1,7,green,242,E24
4,0,0,1,7,green,242,E24
5,0,0,1,7,green,242,E24
6,0,0,1,7,green,242,E24
7,0,0,1,7,green,242,E24
8,0,0,1,7,green,242,E24
9,0,0,1,7,green,242,E24
10,0,0,1,7,green,242,E24
11,0,0,1,7,green,242,E24
12,0,0,1,7,green,242,E24
13,0,0,1,7,green,242,E24
14,0,0,1,7,green,242,E24
15,0,0,1,7,green,242,E24
16,0,0,1,7,green,242,E24
17,0,0,1,7,green,242,E24
18,0,0,1,7,green,242,E24
19,0,0,1,7,green,242,E24
20,0,0,1,7,green,242,E24
21,0,0,1,7,green,242,E24
22,0,0,1,7,green,242,E24
23,0,0,1,7,green,242,E24
24,0,0,1,7,green,242,E24
25,0,0,1,7,green,242,E24
26,0,0,1,7,green,242,E24
27,0,0,1,7,green,242,E24
28,0,0,1,7,green,242,E24
29,0,0,1,7,green,242,E24
30,0,0,1,7,green,242,E24
31,0,0,1,7,green,242,E24
32,0,0,1,7,green,242,E24
33,0,0,1,7,green,242,E24
34,0,0,1,7,green,242,E24
35,0,0,1,7,green,242,E24
36,0,0,1,7,green,242,E24
37,0,0,1,7,green,242,E24
38,0,0,1,7,green,242,E24
39,0,0,1,7,green,242,E24
40,0,0,1,7,green,242,E24
41,0,0,1,7,green,242,E24
42,0,0,1,7,green,242,E24
43,0,0,1,7,green,242,E24
44,0,0,1,7,green,242,E24
45,0,0,1,7,green,242,E24
46,0,0,1,7,green,242,E24
47,0,1,0,7,green,242,E24
48,0,1,0,7,green,242,E24
49,0,1,0,7,green,242,E24
50,0,1,0,7,green,242,E24
51,0,1,0,7,green,242,E24
52,0,1,0,7,green,242,E24
53,0,1,0,7,green,242,E24
54,0,1,0,7,green,242,E24
55,0,1,0,7,green,242,E24
56,0,1,0,7,green,242,E24
57,0,1,0,7,green,242,E24
58,0,1,0,7,green,242,E24
59,0,1,0,7,green,242,E24
60,0,1,0,7,green,242,E24
61,0,1,0,7,green,242,E24
62,0,1,0,7,green,242,E24
63,0,1,0,7,green,242,E24
64,0,1,0,7,green,242,E24
65,0,1,0,7,green,242,E24
66,0,1,0,7,green,242,E24
67,0,1,0,7,green,242,E24
68,0,1,0,7,green,242,E24
69,0,1,0,7,green,242,E24
70,0,1,0,7,green,242,E24
71,0,1,0,7,green,242,E24
72,0,1,0,7,green,242,E24
73,0,1,0,7,green,242,E24
74,0,1,0,7,green,242,E24
75,0,1,0,7,green,242,E24
76,0,1,0,7,green,242,E24
77,0,1,0,7,green,242,E24
78,0,1,0,7,green,242,E24
79,0,1,0,7,green,242,E24
80,0,1,0,7,green,242,E24
81,0,1,0,7,green,242,E24
82,0,1,0,7,green,242,E24
83,0,1,0,7,green,242,E24
84,0,1,0,7,green,242,E24
85,0,1,0,7,green,242,E24
86,0,1,0,7,green,242,E24
87,0,1,0,7,green,242,E24
88,0,1,0,7,green,242,E24
89,0,1,0,7,green,242,E24
90,0,1,0,7,green,242,E24
91,0,1,0,7,green,242,E24
92,0,1,0,7,green,242,E24
93,0,1,0,7,green,242,E24
94,0,1,0,7,green,242,E24
95,0,1,0,7,green,242,E24
96,0,1,0,7,green,242,E24
97,0,1,0,7,green,242,E24
98,0,1,0,7,green,242,E24
99,0,1,0,7,green,242,E24
100,0,1,0,7,green,242,E24
101,0,1,0,7,green,242,E24
102,0,1,0,7,green,242,E24
103,0,1,0,7,green,242,E24
104,0,1,0,7,green,242,E24
105,0,1,0,7,green,242,E24
106,0,1,0,7,green,242,E24
107,0,1,0,7,green,242,E24
108,0,1,0,7,green,242,E24
109,0,1,0,7,green,242,E24
110,0,1,0,7,green,242,E24
111,0,1,0,7,green,242,E24
112,0,1,0,7,green,242,E24
113,0,1,0,7,green,242,E24
114,0,1,0,7,green,242,E24
115,0,1,0,7,green,242,E24
116,0,1,0,7,green,242,E24
117,0,1,0,7,green,242,E24
118,0,1,0,7,green,242,E24
119,0,1,0,7,green,242,E24
120,0,1,0,7,green,242,E24
121,0,1,0,7,green,242,E24
122,0,1,0,7,green,242,E24
123,0,1,0,7,green,242,E24
124,0,1,0,7,green,242,E24
125,0,1,0,7,green,242,E24
126,0,1,0,7,green,242,E24
127,0,1,0,7,green,242,E24
128,0,1,0,7,green,242,E24
129,0,1,0,7,green,242,E24
130,0,1,0,7,green,242,E24
131,0,1,0,7,green,242,E24
132,0,1,0,7,green,242,E24
133,0,1,0,7,green,242,E24
134,0,1,0,7,green,242,E24
135,0,1,0,7,green,242,E24
136,0,1,0,7,green,242,E24
137,0,1,0,7,green,242,E24
138,0,1,0,7,green,242,E24
139,0,1,0,7,green,242,E24
140,0,1,0,7,green,242,E24
141,0,1,0,7,green,242,E24
0,0,0,1,8,green,492,E24
1,0,0,1,8,green,492,E24
2,0,0,1,8,green,492,E24
3,0,0,1,8,green,492,E24
4,0,0,1,8,green,492,E24
5,0,0,1,8,green,492,E24
6,0,0,1,8,green,492,E24
7,0,0,1,8,green,492,E24
8,0,0,1,8,green,492,E24
9,0,0,1,8,green,492,E24
10,0,0,1,8,green,492,E24
11,0,0,1,8,green,492,E24
12,0,0,1,8,green,492,E24
13,0,0,1,8,green,492,E24
14,0,0,1,8,green,492,E24
15,0,0,1,8,green,492,E24
16,0,0,1,8,green,492,E24
17,0,0,1,8,green,492,E24
18,0,0,1,8,green,492,E24
19,0,0,1,8,green,492,E24
20,0,0,1,8,green,492,E24
21,0,0,1,8,green,492,E24
22,0,0,1,8,green,492,E24
23,0,0,1,8,green,492,E24
24,0,0,1,8,green,492,E24
25,0,0,1,8,green,492,E24
26,0,0,1,8,green,492,E24
27,0,0,1,8,green,492,E24
28,0,0,1,8,green,492,E24
29,0,0,1,8,green,492,E24
30,0,0,1,8,green,492,E24
31,0,0,1,8,green,492,E24
32,0,0,1,8,green,492,E24
33,0,0,1,8,green,492,E24
34,0,0,1,8,green,492,E24
35,0,0,1,8,green,492,E24
36,0,0,1,8,green,492,E24
37,0,0,1,8,green,492,E24
38,0,0,1,8,green,492,E24
39,0,0,1,8,green,492,E24
40,0,0,1,8,green,492,E24
41,0,0,1,8,green,492,E24
42,0,0,1,8,green,492,E24
43,0,0,1,8,green,492,E24
44,0,0,1,8,green,492,E24
45,0,0,1,8,green,492,E24
46,0,0,1,8,green,492,E24
47,0,0,1,8,green,492,E24
48,0,0,1,8,green,492,E24
49,0,0,1,8,green,492,E24
50,0,0,1,8,green,492,E24
51,0,0,1,8,green,492,E24
52,0,0,1,8,green,492,E24
53,0,0,1,8,green,492,E24
54,0,0,1,8,green,492,E24
55,0,0,1,8,green,492,E24
56,0,0,1,8,green,492,E24
57,0,0,1,8,green,492,E24
58,0,0,1,8,green,492,E24
59,0,0,1,8,green,492,E24
60,0,1,0,8,green,492,E24
61,0,1,0,8,green,492,E24
62,0,1,0,8,green,492,E24
63,0,1,0,8,green,492,E24
64,0,1,0,8,green,492,E24
65,0,1,0,8,green,492,E24
66,0,1,0,8,green,492,E24
67,0,1,0,8,green,492,E24
68,0,1,0,8,green,492,E24
69,0,1,0,8,green,492,E24
70,0,1,0,8,green,492,E24
71,0,1,0,8,green,492,E24
72,0,1,0,8,green,492,E24
73,0,1,0,8,green,492,E24
74,0,1,0,8,green,492,E24
75,0,1,0,8,green,492,E24
76,0,1,0,8,green,492,E24
77,0,1,0,8,green,492,E24
78,0,1,0,8,green,492,E24
79,0,1,0,8,green,492,E24
80,0,1,0,8,green,492,E24
81,0,1,0,8,green,492,E24
82,0,1,0,8,green,492,E24
83,0,1,0,8,green,492,E24
84,0,1,0,8,green,492,E24
85,0,1,0,8,green,492,E24
86,0,1,0,8,green,492,E24
87,0,1,0,8,green,492,E24
88,0,1,0,8,green,492,E24
89,0,1,0,8,green,492,E24
90,0,1,0,8,green,492,E24
91,0,1,0,8,green,492,E24
92,0,1,0,8,green,492,E24
93,0,1,0,8,green,492,E24
94,0,1,0,8,green,492,E24
95,0,1,0,8,green,492,E24
96,0,1,0,8,green,492,E24
97,0,1,0,8,green,492,E24
98,0,1,0,8,green,492,E24
99,0,1,0,8,green,492,E24
100,0,1,0,8,green,492,E24
101,0,1,0,8,green,492,E24
102,0,1,0,8,green,492,E24
103,0,1,0,8,green,492,E24
104,0,1,0,8,green,492,E24
105,0,1,0,8,green,492,E24
106,0,1,0,8,green,492,E24
107,0,1,0,8,green,492,E24
108,0,1,0,8,green,492,E24
109,0,1,0,8,green,492,E24
110,0,1,0,8,green,492,E24
111,0,1,0,8,green,492,E24
112,0,1,0,8,green,492,E24
113,0,1,0,8,green,492,E24
114,0,1,0,8,green,492,E24
115,0,1,0,8,green,492,E24
116,0,1,0,8,green,492,E24
117,0,1,0,8,green,492,E24
118,0,1,0,8,green,492,E24
119,0,1,0,8,green,492,E24
120,0,1,0,8,green,492,E24
121,0,1,0,8,green,492,E24
122,0,1,0,8,green,492,E24
123,0,1,0,8,green,492,E24
124,0,1,0,8,green,492,E24
125,0,1,0,8,green,492,E24
126,0,1,0,8,green,492,E24
127,0,1,0,8,green,492,E24
128,0,1,0,8,green,492,E24
129,0,1,0,8,green,492,E24
130,0,1,0,8,green,492,E24
131,0,1,0,8,green,492,E24
132,0,1,0,8,green,492,E24
133,0,1,0,8,green,492,E24
134,0,1,0,8,green,492,E24
135,0,1,0,8,green,492,E24
136,0,1,0,8,green,492,E24
137,0,1,0,8,green,492,E24
138,0,1,0,8,green,492,E24
139,0,1,0,8,green,492,E24
140,0,1,0,8,green,492,E24
141,0,1,0,8,green,492,E24
0,0,0,1,9,green,514,E24
1,0,0,1,9,green,514,E24
2,0,0,1,9,green,514,E24
3,0,0,1,9,green,514,E24
4,0,0,1,9,green,514,E24
5,0,0,1,9,green,514,E24
6,0,0,1,9,green,514,E24
7,0,0,1,9,green,514,E24
8,0,0,1,9,green,514,E24
9,0,0,1,9,green,514,E24
10,0,0,1,9,green,514,E24
11,0,0,1,9,green,514,E24
12,0,0,1,9,green,514,E24
13,0,0,1,9,green,514,E24
14,0,0,1,9,green,514,E24
15,0,0,1,9,green,514,E24
16,0,0,1,9,green,514,E24
17,0,0,1,9,green,514,E24
18,0,0,1,9,green,514,E24
19,0,0,1,9,green,514,E24
20,0,0,1,9,green,514,E24
21,0,0,1,9,green,514,E24
22,0,0,1,9,green,514,E24
23,0,0,1,9,green,514,E24
24,0,0,1,9,green,514,E24
25,0,0,1,9,green,514,E24
26,0,0,1,9,green,514,E24
27,0,0,1,9,green,514,E24
28,0,0,1,9,green,514,E24
29,0,0,1,9,green,514,E24
30,0,0,1,9,green,514,E24
31,0,0,1,9,green,514,E24
32,0,0,1,9,green,514,E24
33,0,0,1,9,green,514,E24
34,0,0,1,9,green,514,E24
35,0,0,1,9,green,514,E24
36,0,0,1,9,green,514,E24
37,0,0,1,9,green,514,E24
38,0,0,1,9,green,514,E24
39,0,0,1,9,green,514,E24
40,0,0,1,9,green,514,E24
41,0,0,1,9,green,514,E24
42,0,0,1,9,green,514,E24
43,0,0,1,9,green,514,E24
44,0,0,1,9,green,514,E24
45,0,0,1,9,green,514,E24
46,0,0,1,9,green,514,E24
47,0,0,1,9,green,514,E24
48,0,0,1,9,green,514,E24
49,0,0,1,9,green,514,E24
50,0,0,1,9,green,514,E24
51,0,0,1,9,green,514,E24
52,0,0,1,9,green,514,E24
53,0,0,1,9,green,514,E24
54,0,0,1,9,green,514,E24
55,0,0,1,9,green,514,E24
56,0,0,1,9,green,514,E24
57,0,0,1,9,green,514,E24
58,0,0,1,9,green,514,E24
59,0,0,1,9,green,514,E24
60,0,0,1,9,green,514,E24
61,0,0,1,9,green,514,E24
62,0,0,1,9,green,514,E24
63,0,0,1,9,green,514,E24
64,0,0,1,9,green,514,E24
65,0,0,1,9,green,514,E24
66,0,0,1,9,green,514,E24
67,0,0,1,9,green,514,E24
68,0,0,1,9,green,514,E24
69,0,0,1,9,green,514,E24
70,0,0,1,9,green,514,E24
71,0,0,1,9,green,514,E24
72,0,0,1,9,green,514,E24
73,0,0,1,9,green,514,E24
74,0,0,1,9,green,514,E24
75,0,0,1,9,green,514,E24
76,0,0,1,9,green,514,E24
77,0,0,1,9,green,514,E24
78,0,0,1,9,green,514,E24
79,0,0,1,9,green,514,E24
80,0,0,1,9,green,514,E24
81,0,0,1,9,green,514,E24
82,0,0,1,9,green,514,E24
83,0,0,1,9,green,514,E24
84,0,0,1,9,green,514,E24
85,0,0,1,9,green,514,E24
86,0,0,1,9,green,514,E24
87,0,0,1,9,green,514,E24
88,0,0,1,9,green,514,E24
89,0,0,1,9,green,514,E24
90,0,0,1,9,green,514,E24
91,0,0,1,9,green,514,E24
92,0,0,1,9,green,514,E24
93,0,0,1,9,green,514,E24
94,0,0,1,9,green,514,E24
95,0,0,1,9,green,514,E24
96,0,0,1,9,green,514,E24
97,0,0,1,9,green,514,E24
98,0,0,1,9,green,514,E24
99,0,0,1,9,green,514,E24
100,0,0,1,9,green,514,E24
101,0,0,1,9,green,514,E24
102,0,0,1,9,green,514,E24
103,0,0,1,9,green,514,E24
104,0,0,1,9,green,514,E24
105,0,0,1,9,green,514,E24
106,0,0,1,9,green,514,E24
107,0,0,1,9,green,514,E24
108,0,1,0,9,green,514,E24
109,0,1,0,9,green,514,E24
110,0,1,0,9,green,514,E24
111,0,1,0,9,green,514,E24
112,0,1,0,9,green,514,E24
113,0,1,0,9,green,514,E24
114,0,1,0,9,green,514,E24
115,0,1,0,9,green,514,E24
116,0,1,0,9,green,514,E24
117,0,1,0,9,green,514,E24
118,0,1,0,9,green,514,E24
119,0,1,0,9,green,514,E24
120,0,1,0,9,green,514,E24
121,0,1,0,9,green,514,E24
122,0,1,0,9,green,514,E24
123,0,1,0,9,green,514,E24
124,0,1,0,9,green,514,E24
125,0,1,0,9,green,514,E24
126,0,1,0,9,green,514,E24
127,0,1,0,9,green,514,E24
128,0,1,0,9,green,514,E24
129,0,1,0,9,green,514,E24
130,0,1,0,9,green,514,E24
131,0,1,0,9,green,514,E24
132,0,1,0,9,green,514,E24
133,0,1,0,9,green,514,E24
134,0,1,0,9,green,514,E24
135,0,1,0,9,green,514,E24
136,0,1,0,9,green,514,E24
137,0,1,0,9,green,514,E24
138,0,1,0,9,green,514,E24
139,0,1,0,9,green,514,E24
140,0,1,0,9,green,514,E24
141,0,1,0,9,green,514,E24
0,0,0,1,10,green,565,E24
1,0,0,1,10,green,565,E24
2,0,0,1,10,green,565,E24
3,0,0,1,10,green,565,E24
4,0,0,1,10,green,565,E24
5,0,0,1,10,green,565,E24
6,0,0,1,10,green,565,E24
7,0,0,1,10,green,565,E24
8,0,0,1,10,green,565,E24
9,0,0,1,10,green,565,E24
10,0,0,1,10,green,565,E24
11,0,0,1,10,green,565,E24
12,0,0,1,10,green,565,E24
13,0,0,1,10,green,565,E24
14,0,0,1,10,green,565,E24
15,0,0,1,10,green,565,E24
16,0,0,1,10,green,565,E24
17,0,0,1,10,green,565,E24
18,0,0,1,10,green,565,E24
19,0,0,1,10,green,565,E24
20,0,0,1,10,green,565,E24
21,0,0,1,10,green,565,E24
22,0,0,1,10,green,565,E24
23,0,0,1,10,green,565,E24
24,0,0,1,10,green,565,E24
25,0,0,1,10,green,565,E24
26,0,0,1,10,green,565,E24
27,0,0,1,10,green,565,E24
28,0,0,1,10,green,565,E24
29,0,0,1,10,green,565,E24
30,0,0,1,10,green,565,E24
31,0,0,1,10,green,565,E24
32,0,0,1,10,green,565,E24
33,0,0,1,10,green,565,E24
34,0,0,1,10,green,565,E24
35,0,0,1,10,green,565,E24
36,0,0,1,10,green,565,E24
37,0,0,1,10,green,565,E24
38,0,0,1,10,green,565,E24
39,0,0,1,10,green,565,E24
40,0,0,1,10,green,565,E24
41,0,0,1,10,green,565,E24
42,0,0,1,10,green,565,E24
43,0,1,0,10,green,565,E24
44,0,1,0,10,green,565,E24
45,0,1,0,10,green,565,E24
46,0,1,0,10,green,565,E24
47,0,1,0,10,green,565,E24
48,0,1,0,10,green,565,E24
49,0,1,0,10,green,565,E24
50,0,1,0,10,green,565,E24
51,0,1,0,10,green,565,E24
52,0,1,0,10,green,565,E24
53,0,1,0,10,green,565,E24
54,0,1,0,10,green,565,E24
55,0,1,0,10,green,565,E24
56,0,1,0,10,green,565,E24
57,0,1,0,10,green,565,E24
58,0,1,0,10,green,565,E24
59,0,1,0,10,green,565,E24
60,0,1,0,10,green,565,E24
61,0,1,0,10,green,565,E24
62,0,1,0,10,green,565,E24
63,0,1,0,10,green,565,E24
64,0,1,0,10,green,565,E24
65,0,1,0,10,green,565,E24
66,0,1,0,10,green,565,E24
67,0,1,0,10,green,565,E24
68,0,1,0,10,green,565,E24
69,0,1,0,10,green,565,E24
70,0,1,0,10,green,565,E24
71,0,1,0,10,green,565,E24
72,0,1,0,10,green,565,E24
73,0,1,0,10,green,565,E24
74,0,1,0,10,green,565,E24
75,0,1,0,10,green,565,E24
76,0,1,0,10,green,565,E24
77,0,1,0,10,green,565,E24
78,0,1,0,10,green,565,E24
79,0,1,0,10,green,565,E24
80,0,1,0,10,green,565,E24
81,0,1,0,10,green,565,E24
82,0,1,0,10,green,565,E24
83,0,1,0,10,green,565,E24
84,0,1,0,10,green,565,E24
85,0,1,0,10,green,565,E24
86,0,1,0,10,green,565,E24
87,0,1,0,10,green,565,E24
88,0,1,0,10,green,565,E24
89,0,1,0,10,green,565,E24
90,0,1,0,10,green,565,E24
91,0,1,0,10,green,565,E24
92,0,1,0,10,green,565,E24
93,0,1,0,10,green,565,E24
94,0,1,0,10,green,565,E24
95,0,1,0,10,green,565,E24
96,0,1,0,10,green,565,E24
97,0,1,0,10,green,565,E24
98,0,1,0,10,green,565,E24
99,0,1,0,10,green,565,E24
100,0,1,0,10,green,565,E24
101,0,1,0,10,green,565,E24
102,0,1,0,10,green,565,E24
103,0,1,0,10,green,565,E24
104,0,1,0,10,green,565,E24
105,0,1,0,10,green,565,E24
106,0,1,0,10,green,565,E24
107,0,1,0,10,green,565,E24
108,0,1,0,10,green,565,E24
109,0,1,0,10,green,565,E24
110,0,1,0,10,green,565,E24
111,0,1,0,10,green,565,E24
112,0,1,0,10,green,565,E24
113,0,1,0,10,green,565,E24
114,0,1,0,10,green,565,E24
115,0,1,0,10,green,565,E24
116,0,1,0,10,green,565,E24
117,0,1,0,10,green,565,E24
118,0,1,0,10,green,565,E24
119,0,1,0,10,green,565,E24
120,0,1,0,10,green,565,E24
121,0,1,0,10,green,565,E24
122,0,1,0,10,green,565,E24
123,0,1,0,10,green,565,E24
124,0,1,0,10,green,565,E24
125,0,1,0,10,green,565,E24
126,0,1,0,10,green,565,E24
127,0,1,0,10,green,565,E24
128,0,1,0,10,green,565,E24
129,0,1,0,10,green,565,E24
130,0,1,0,10,green,565,E24
131,0,1,0,10,green,565,E24
132,0,1,0,10,green,565,E24
133,0,1,0,10,green,565,E24
134,0,1,0,10,green,565,E24
135,0,1,0,10,green,565,E24
136,0,1,0,10,green,565,E24
137,0,1,0,10,green,565,E24
138,0,1,0,10,green,565,E24
139,0,1,0,10,green,565,E24
140,0,1,0,10,green,565,E24
141,0,1,0,10,green,565,E24
0,0,0,1,11,green,547,E24
1,0,0,1,11,green,547,E24
2,0,0,1,11,green,547,E24
3,0,0,1,11,green,547,E24
4,0,0,1,11,green,547,E24
5,0,0,1,11,green,547,E24
6,0,0,1,11,green,547,E24
7,0,0,1,11,green,547,E24
8,0,0,1,11,green,547,E24
9,0,0,1,11,green,547,E24
10,0,0,1,11,green,547,E24
11,0,0,1,11,green,547,E24
12,0,0,1,11,green,547,E24
13,0,0,1,11,green,547,E24
14,0,0,1,11,green,547,E24
15,0,0,1,11,green,547,E24
16,0,0,1,11,green,547,E24
17,0,1,0,11,green,547,E24
18,0,1,0,11,green,547,E24
19,0,1,0,11,green,547,E24
20,0,1,0,11,green,547,E24
21,0,1,0,11,green,547,E24
22,0,1,0,11,green,547,E24
23,0,1,0,11,green,547,E24
24,0,1,0,11,green,547,E24
25,0,1,0,11,green,547,E24
26,0,1,0,11,green,547,E24
27,0,1,0,11,green,547,E24
28,0,1,0,11,green,547,E24
29,0,1,0,11,green,547,E24
30,0,1,0,11,green,547,E24
31,0,1,0,11,green,547,E24
32,0,1,0,11,green,547,E24
33,0,1,0,11,green,547,E24
34,0,1,0,11,green,547,E24
35,0,1,0,11,green,547,E24
36,0,1,0,11,green,547,E24
37,0,1,0,11,green,547,E24
38,0,1,0,11,green,547,E24
39,0,1,0,11,green,547,E24
40,0,1,0,11,green,547,E24
41,0,1,0,11,green,547,E24
42,0,1,0,11,green,547,E24
43,0,1,0,11,green,547,E24
44,0,1,0,11,green,547,E24
45,0,1,0,11,green,547,E24
46,0,1,0,11,green,547,E24
47,0,1,0,11,green,547,E24
48,0,1,0,11,green,547,E24
49,0,1,0,11,green,547,E24
50,0,1,0,11,green,547,E24
51,0,1,0,11,green,547,E24
52,0,1,0,11,green,547,E24
53,0,1,0,11,green,547,E24
54,0,1,0,11,green,547,E24
55,0,1,0,11,green,547,E24
56,0,1,0,11,green,547,E24
57,0,1,0,11,green,547,E24
58,0,1,0,11,green,547,E24
59,0,1,0,11,green,547,E24
60,0,1,0,11,green,547,E24
61,0,1,0,11,green,547,E24
62,0,1,0,11,green,547,E24
63,0,1,0,11,green,547,E24
64,0,1,0,11,green,547,E24
65,0,1,0,11,green,547,E24
66,0,1,0,11,green,547,E24
67,0,1,0,11,green,547,E24
68,0,1,0,11,green,547,E24
69,0,1,0,11,green,547,E24
70,0,1,0,11,green,547,E24
71,0,1,0,11,green,547,E24
72,0,1,0,11,green,547,E24
73,0,1,0,11,green,547,E24
74,0,1,0,11,green,547,E24
75,0,1,0,11,green,547,E24
76,0,1,0,11,green,547,E24
77,0,1,0,11,green,547,E24
78,0,1,0,11,green,547,E24
79,0,1,0,11,green,547,E24
80,0,1,0,11,green,547,E24
81,0,1,0,11,green,547,E24
82,0,1,0,11,green,547,E24
83,0,1,0,11,green,547,E24
84,0,1,0,11,green,547,E24
85,0,1,0,11,green,547,E24
86,0,1,0,11,green,547,E24
87,0,1,0,11,green,547,E24
88,0,1,0,11,green,547,E24
89,0,1,0,11,green,547,E24
90,0,1,0,11,green,547,E24
91,0,1,0,11,green,547,E24
92,0,1,0,11,green,547,E24
93,0,1,0,11,green,547,E24
94,0,1,0,11,green,547,E24
95,0,1,0,11,green,547,E24
96,0,1,0,11,green,547,E24
97,0,1,0,11,green,547,E24
98,0,1,0,11,green,547,E24
99,0,1,0,11,green,547,E24
100,0,1,0,11,green,547,E24
101,0,1,0,11,green,547,E24
102,0,1,0,11,green,547,E24
103,0,1,0,11,green,547,E24
104,0,1,0,11,green,547,E24
105,0,1,0,11,green,547,E24
106,0,1,0,11,green,547,E24
107,0,1,0,11,green,547,E24
108,0,1,0,11,green,547,E24
109,0,1,0,11,green,547,E24
110,0,1,0,11,green,547,E24
111,0,1,0,11,green,547,E24
112,0,1,0,11,green,547,E24
113,0,1,0,11,green,547,E24
114,0,1,0,11,green,547,E24
115,0,1,0,11,green,547,E24
116,0,1,0,11,green,547,E24
117,0,1,0,11,green,547,E24
118,0,1,0,11,green,547,E24
119,0,1,0,11,green,547,E24
120,0,1,0,11,green,547,E24
121,0,1,0,11,green,547,E24
122,0,1,0,11,green,547,E24
123,0,1,0,11,green,547,E24
124,0,1,0,11,green,547,E24
125,0,1,0,11,green,547,E24
126,0,1,0,11,green,547,E24
127,0,1,0,11,green,547,E24
128,0,1,0,11,green,547,E24
129,0,1,0,11,green,547,E24
130,0,1,0,11,green,547,E24
131,0,1,0,11,green,547,E24
132,0,1,0,11,green,547,E24
133,0,1,0,11,green,547,E24
134,0,1,0,11,green,547,E24
135,0,1,0,11,green,547,E24
136,0,1,0,11,green,547,E24
137,0,1,0,11,green,547,E24
138,0,1,0,11,green,547,E24
139,0,1,0,11,green,547,E24
140,0,1,0,11,green,547,E24
141,0,1,0,11,green,547,E24
0,0,0,1,12,green,634,E24
1,0,0,1,12,green,634,E24
2,0,0,1,12,green,634,E24
3,0,0,1,12,green,634,E24
4,0,0,1,12,green,634,E24
5,0,0,1,12,green,634,E24
6,0,0,1,12,green,634,E24
7,0,0,1,12,green,634,E24
8,0,0,1,12,green,634,E24
9,0,0,1,12,green,634,E24
10,0,0,1,12,green,634,E24
11,0,0,1,12,green,634,E24
12,0,0,1,12,green,634,E24
13,0,0,1,12,green,634,E24
14,0,0,1,12,green,634,E24
15,0,0,1,12,green,634,E24
16,0,0,1,12,green,634,E24
17,0,0,1,12,green,634,E24
18,0,0,1,12,green,634,E24
19,0,0,1,12,green,634,E24
20,0,0,1,12,green,634,E24
21,0,0,1,12,green,634,E24
22,0,0,1,12,green,634,E24
23,0,0,1,12,green,634,E24
24,0,0,1,12,green,634,E24
25,0,0,1,12,green,634,E24
26,0,0,1,12,green,634,E24
27,0,0,1,12,green,634,E24
28,0,0,1,12,green,634,E24
29,0,0,1,12,green,634,E24
30,0,0,1,12,green,634,E24
31,0,0,1,12,green,634,E24
32,0,0,1,12,green,634,E24
33,0,0,1,12,green,634,E24
34,0,0,1,12,green,634,E24
35,0,0,1,12,green,634,E24
36,0,0,1,12,green,634,E24
37,0,0,1,12,green,634,E24
38,0,0,1,12,green,634,E24
39,0,0,1,12,green,634,E24
40,0,1,0,12,green,634,E24
41,0,1,0,12,green,634,E24
42,0,1,0,12,green,634,E24
43,0,1,0,12,green,634,E24
44,0,1,0,12,green,634,E24
45,0,1,0,12,green,634,E24
46,0,1,0,12,green,634,E24
47,0,1,0,12,green,634,E24
48,0,1,0,12,green,634,E24
49,0,1,0,12,green,634,E24
50,0,1,0,12,green,634,E24
51,0,1,0,12,green,634,E24
52,0,1,0,12,green,634,E24
53,0,1,0,12,green,634,E24
54,0,1,0,12,green,634,E24
55,0,1,0,12,green,634,E24
56,0,1,0,12,green,634,E24
57,0,1,0,12,green,634,E24
58,0,1,0,12,green,634,E24
59,0,1,0,12,green,634,E24
60,0,1,0,12,green,634,E24
61,0,1,0,12,green,634,E24
62,0,1,0,12,green,634,E24
63,0,1,0,12,green,634,E24
64,0,1,0,12,green,634,E24
65,0,1,0,12,green,634,E24
66,0,1,0,12,green,634,E24
67,0,1,0,12,green,634,E24
68,0,1,0,12,green,634,E24
69,0,1,0,12,green,634,E24
70,0,1,0,12,green,634,E24
71,0,1,0,12,green,634,E24
72,0,1,0,12,green,634,E24
73,0,1,0,12,green,634,E24
74,0,1,0,12,green,634,E24
75,0,1,0,12,green,634,E24
76,0,1,0,12,green,634,E24
77,0,1,0,12,green,634,E24
